X1,X2,X3,X4,Y1,Y2,Y3,Y4
1750,40,300,8,30.4774206665784,107.235334676794,53.1774011211362,449.601704074866
250,60,300,8,23.0146593256462,79.5603922659404,56.8764569732756,458.210296770672
750,60,300,8,22.3789602947317,80.3938908495742,55.8394629259149,455.962226940523
1250,60,300,8,22.0880579347426,82.0201219996101,54.8024272918256,453.714279003845
1750,60,300,8,22.122033767891,84.3038783281069,53.7654924774023,451.466761671893
250,80,300,8,24.6328091892249,82.8244356650429,57.4643296670162,460.075248968909
750,80,300,8,23.5095425654252,82.3210759265478,56.4274863998382,457.828208761949
1750,80,300,8,22.4616867989655,84.0818671163065,54.3537367801092,453.334546888049
250,20,450,8,39.1975857168135,122.42761793617,53.6832726510576,421.487197832075
750,20,450,8,38.6592644025946,123.524586298972,52.6459352572753,419.234759261853
1250,20,450,8,38.1980773131765,124.706949451352,51.6087024286404,416.984123366841
1750,20,450,8,37.7991216828932,125.852540778445,50.5717165986326,414.735599227349
250,40,450,8,21.7094966128888,75.5934283150953,54.2711283189998,423.347143504182
750,40,450,8,20.4389480989596,74.7712680668425,53.2338467684969,421.095528628212
1250,40,450,8,19.4680346985469,74.6290638875599,52.1966428832001,418.845631376462
750,60,450,8,10.6788742364265,48.1470815524132,53.821989421043,422.960586773792
1250,60,450,8,9.21215379238787,46.6885947604806,52.7848619508142,420.71153111609
1750,60,450,8,8.21938991034472,46.2967461578778,51.7479276543877,418.464416723232
250,80,450,8,12.2508789013747,48.7957727238388,55.4473098845711,427.079335871747
750,80,450,8,9.78697252590281,44.7584010164355,54.4102824530203,424.829677624427
1250,80,450,8,7.85609469845878,42.038967948986,53.3732788590771,422.581566395757
1750,80,450,8,6.49536081405854,40.6533860242516,52.3364415047388,420.335310919278
250,20,600,8,37.0372974649892,115.251063501128,51.6657979348136,388.488835707999
750,20,600,8,35.4349462637867,113.508213026471,50.6283238366437,386.233881930871
1250,20,600,8,33.9515502763013,111.979254917487,49.5910466515702,383.98224132652
250,40,600,8,17.7141142022612,63.5668405952933,52.2537115541746,390.34878401178
