X1,X2,X3,X4,Y1,Y2,Y3,Y4
250,60,450,4,30.1539694211694,109.576541798301,49.2150593112424,452.673911310104
750,60,450,4,29.7420161199876,117.602837149663,49.7438228264799,476.459669440726
1250,60,450,4,28.3751550941601,122.06831675284,50.4368541185425,483.799005937092
1750,60,450,4,26.0533863436868,122.972980607831,51.2941531874299,474.691920799201
250,80,450,4,20.2013197802262,89.599941278972,47.6202218585988,527.785486638882
1250,80,450,4,20.3057502855257,97.3754801474194,49.8483463124602,504.910722150026
1750,80,450,4,18.9256039512069,95.9220259593643,51.2088102046283,468.803707454213
250,20,600,4,61.0874289408805,145.249839285939,48.1891550402438,299.28266452834
750,20,600,4,57.2080591239557,157.94363423121,46.9324910178861,372.302220546365
1250,20,600,4,52.3737815823851,167.076613428296,45.8400947723534,428.875354930133
1750,20,600,4,46.5845963161687,172.648776877195,44.9119663036456,469.002067679646
250,40,600,4,40.1255821013043,107.85666486422,46.9165851417016,310.332875015671
750,40,600,4,37.1878347005338,118.192341766445,46.1630859426246,356.352501475773
1750,40,600,4,28.4476167250557,128.181248326338,45.1488908749454,399.05248949321
250,60,600,4,23.9992319761291,78.3297561310719,46.1303479007699,357.32127041738
1250,60,600,4,19.0520742822514,90.7240581012446,45.7939469260022,378.914242587484
1750,60,600,4,15.1461338483438,91.5799854640521,45.8721481038557,365.041096221151
250,80,600,4,12.708378565355,56.669113086496,45.8304433174488,440.247850733467
750,80,600,4,11.6538759968934,62.2885539026292,46.0832737649331,432.267618077725
1250,80,600,4,9.64446570378609,64.3471789705767,46.5003719892424,407.840963787727
1750,80,600,4,6.68014768603293,62.8449882903382,47.0817379903766,366.967887863472
250,20,150,8,50.4464455685115,166.782212068658,59.5641467789699,449.633621333438
750,20,150,8,53.1494117495697,177.607648278174,59.970150642364,516.207580455791
1250,20,150,8,54.897470205982,184.872268739503,60.540422282583,566.335117943887
1750,20,150,8,55.6906209377486,188.576073452646,61.274961699627,600.016233797727
250,40,150,8,37.2364100166881,139.37877176043,57.4186320814098,437.969852283956
1250,40,150,8,43.5706794864674,152.752592345182,59.4012372315843,500.671489778561
1750,40,150,8,45.3054526343885,154.09827901528,60.638941471909,507.352676074478
250,60,150,8,28.8618711792658,119.841597140773,55.7594500414603,462.244268148853
750,60,150,8,33.4480821926328,125.950797264196,57.1717835514158,474.818368155361
1750,60,150,8,39.7557810454294,127.486750266485,60.4892539018014,450.627303265608
250,80,150,8,25.3228290562445,108.170688209687,54.5866006591213,522.456868928127
750,80,150,8,30.8506624857659,111.921770290065,56.5020989923574,508.031039376713
1250,80,150,8,35.4235881906416,112.112036622256,58.5818651024185,477.158788191042
1750,80,150,8,39.0416061708714,108.741487206262,60.8258989893044,429.840115371116
250,20,300,8,43.6252508680556,136.01649821322,56.8671515260656,390.275744753046
1250,20,300,8,44.9079321386576,154.009081899698,56.285231247611,497.445118906611
1750,20,300,8,44.11691118699,157.664150120658,56.2406727736211,526.360173532009
250,40,300,8,29.0770115464013,106.929015379744,56.016569697828,386.426980690872
750,40,300,8,31.1374284601796,115.34759705403,56.1466404934689,421.234949026861
1250,40,300,8,32.2429376493121,120.20536298013,56.4409790659347,439.596495728593
